ID=4662 | Cat=18 | Marca=ESTOFADO ALOHA (BASE LAMINADA) | Desc=Módulo (1Ass:100 - S/br)                      | W=1.00 | D=1.00 | H=0.82 | PA=0.00 | M3=0.820
ID=4667 | Cat=18 | Marca=ESTOFADO ALOHA (BASE LAMINADA) | Desc=Módulo (1Ass:110 - 1Br:030)                   | W=1.40 | D=1.00 | H=0.82 | PA=0.00 | M3=1.150
ID=4663 | Cat=18 | Marca=ESTOFADO ALOHA (BASE LAMINADA) | Desc=Módulo (1Ass:110 - S/br)                      | W=1.10 | D=1.00 | H=0.82 | PA=0.00 | M3=0.900
ID=4668 | Cat=18 | Marca=ESTOFADO ALOHA (BASE LAMINADA) | Desc=Módulo (1Ass:120 - 1Br:030)                   | W=1.50 | D=1.00 | H=0.82 | PA=0.00 | M3=1.230
ID=4664 | Cat=18 | Marca=ESTOFADO ALOHA (BASE LAMINADA) | Desc=Módulo (1Ass:120 - S/br)                      | W=1.20 | D=1.00 | H=0.82 | PA=0.00 | M3=0.980
ID=4669 | Cat=18 | Marca=ESTOFADO ALOHA (BASE LAMINADA) | Desc=Puff 090x100                                  | W=0.90 | D=1.00 | H=0.41 | PA=0.00 | M3=0.370
ID=4670 | Cat=18 | Marca=ESTOFADO ALOHA (BASE LAMINADA) | Desc=Puff 100x100                                  | W=1.00 | D=1.00 | H=0.41 | PA=0.00 | M3=0.410
ID=4671 | Cat=18 | Marca=ESTOFADO ALOHA (BASE LAMINADA) | Desc=Puff 110x100                                  | W=1.10 | D=1.00 | H=0.41 | PA=0.00 | M3=0.450
ID=4672 | Cat=18 | Marca=ESTOFADO ALOHA (BASE LAMINADA) | Desc=Puff 120x100                                  | W=1.20 | D=1.00 | H=0.41 | PA=0.00 | M3=0.490
ID=4653 | Cat=18 | Marca=ESTOFADO ALOHA (BASE TAPEÇADA) | Desc=Módulo (1Ass:090 - 1Br:030)                   | W=1.20 | D=1.00 | H=0.82 | PA=0.00 | M3=0.980
ID=4649 | Cat=18 | Marca=ESTOFADO ALOHA (BASE TAPEÇADA) | Desc=Módulo (1Ass:090 - S/br)                      | W=0.90 | D=1.00 | H=0.82 | PA=0.00 | M3=0.740
ID=4654 | Cat=18 | Marca=ESTOFADO ALOHA (BASE TAPEÇADA) | Desc=Módulo (1Ass:100 - 1Br:030)                   | W=1.30 | D=1.00 | H=0.82 | PA=0.00 | M3=1.070
ID=4650 | Cat=18 | Marca=ESTOFADO ALOHA (BASE TAPEÇADA) | Desc=Módulo (1Ass:100 - S/br)                      | W=1.00 | D=1.00 | H=0.82 | PA=0.00 | M3=0.820
ID=4655 | Cat=18 | Marca=ESTOFADO ALOHA (BASE TAPEÇADA) | Desc=Módulo (1Ass:110 - 1Br:030)                   | W=1.40 | D=1.00 | H=0.82 | PA=0.00 | M3=1.150
ID=4651 | Cat=18 | Marca=ESTOFADO ALOHA (BASE TAPEÇADA) | Desc=Módulo (1Ass:110 - S/br)                      | W=1.10 | D=1.00 | H=0.82 | PA=0.00 | M3=0.900
ID=4656 | Cat=18 | Marca=ESTOFADO ALOHA (BASE TAPEÇADA) | Desc=Módulo (1Ass:120 - 1Br:030)                   | W=1.50 | D=1.00 | H=0.82 | PA=0.00 | M3=1.230
ID=4652 | Cat=18 | Marca=ESTOFADO ALOHA (BASE TAPEÇADA) | Desc=Módulo (1Ass:120 - S/br)                      | W=1.20 | D=1.00 | H=0.82 | PA=0.00 | M3=0.980
