Row  57 | Model: ESTOFADO ANKUR            | Desc: Sumie Sem Canto 240                      | W=2.40 | D=1.08 | H=0.86 | PA=0.00 | M3=2.592 | Prices=[3263.3436937500005, 3344.35815, 3471.6665812499996, 3587.40151875, 3714.7099499999995, 3842.01838125, 3969.3268125, 4189.22319375, 4548.0015]
Row  60 | Model: ESTOFADO LASSO            | Desc: Módulo (1Ass:115 - S/br)                 | W=1.15 | D=0.94 | H=0.78 | PA=0.00 | M3=1.081 | Prices=[3344.59734, 3397.5261600000003, 3480.70002, 3556.31262, 3639.48648, 3722.66034, 3805.8342000000007, 3949.4981399999997, 4183.897199999999]
Row  61 | Model: ESTOFADO LASSO            | Desc: Módulo (1Ass:135 - S/br)                 | W=1.35 | D=0.94 | H=0.78 | PA=0.00 | M3=1.269 | Prices=[3644.36979375, 3705.0174000000006, 3800.3207812499995, 3886.960218750001, 3982.2636, 4077.5669812500005, 4172.870362500001, 4337.485293750001, 4606.067550000001]
Row  62 | Model: ESTOFADO LASSO            | Desc: Módulo (1Ass:155 - S/br)                 | W=1.55 | D=0.94 | H=0.78 | PA=0.00 | M3=1.457 | Prices=[3947.2927725000004, 4015.659165, 4123.092067500001, 4220.7583425, 4328.191245, 4435.624147500001, 4543.05705, 4728.622972500001, 5031.388425]
Row  63 | Model: ESTOFADO LASSO            | Desc: Módulo (1Ass:175 - S/br)                 | W=1.75 | D=0.94 | H=0.78 | PA=0.00 | M3=1.645 | Prices=[4291.17257625, 4367.2577550000005, 4486.82017875, 4595.51329125, 4715.075715000001, 4834.6381387500005, 4954.2005625, 5160.71747625, 5497.666125000001]
Row  64 | Model: ESTOFADO LASSO            | Desc: Módulo (1Ass:195 - S/br)                 | W=1.95 | D=0.94 | H=0.78 | PA=0.00 | M3=1.833 | Prices=[4600.396605, 4684.200570000001, 4815.892515, 4935.612465, 5067.304410000001, 5198.996355, 5330.6883, 5558.156205, 5929.28805]
Row  65 | Model: ESTOFADO LASSO            | Desc: Módulo (1Ass:215 - S/br)                 | W=2.15 | D=0.94 | H=0.78 | PA=0.00 | M3=2.021 | Prices=[4937.97535875, 5029.49811, 5173.31957625, 5304.066363750001, 5447.887830000001, 5591.709296250001, 5735.5307625000005, 5983.94965875, 6389.2647]
Row  66 | Model: ESTOFADO LASSO            | Desc: Módulo (1Ass:235 - S/br)                 | W=2.35 | D=0.94 | H=0.78 | PA=0.00 | M3=2.209 | Prices=[5199.9415125000005, 5299.183050000001, 5455.134037500001, 5596.907662500001, 5752.858650000001, 5908.8096375000005, 6064.760625000001, 6334.1305125, 6773.628750000001]
Row  68 | Model: ESTOFADO LASSO            | Desc: Módulo (1Ass:115 - 1Me:030)              | W=1.45 | D=0.94 | H=0.78 | PA=0.00 | M3=1.363 | Prices=[3448.5646650000003, 3501.493485, 3584.6673450000008, 3660.2799450000007, 3743.453805, 3826.6276649999995, 3909.801525, 4053.465465, 4287.864525]
Row  69 | Model: ESTOFADO LASSO            | Desc: Módulo (1Ass:135 - 1Me:030)              | W=1.65 | D=0.94 | H=0.78 | PA=0.00 | M3=1.551 | Prices=[3789.2939437500004, 3849.94155, 3945.2449312500003, 4031.88436875, 4127.18775, 4222.491131250001, 4317.794512500001, 4482.409443750001, 4750.9917000000005]
Row  70 | Model: ESTOFADO LASSO            | Desc: Módulo (1Ass:155 - 1Me:030)              | W=1.85 | D=0.94 | H=0.78 | PA=0.00 | M3=1.739 | Prices=[4085.915872500001, 4154.282265, 4261.7151675000005, 4359.381442500001, 4466.814345, 4574.2472475, 4681.68015, 4867.2460725, 5170.011525000001]
Row  71 | Model: ESTOFADO LASSO            | Desc: Módulo (1Ass:175 - 1Me:030)              | W=2.05 | D=0.94 | H=0.78 | PA=0.00 | M3=1.927 | Prices=[4382.5378012500005, 4458.622980000001, 4578.185403750001, 4686.878516250001, 4806.44094, 4926.00336375, 5045.5657875, 5252.08270125, 5589.03135]
Row  72 | Model: ESTOFADO LASSO            | Desc: Módulo (1Ass:195 - 1Me:030)              | W=2.25 | D=0.94 | H=0.78 | PA=0.00 | M3=2.115 | Prices=[4723.2670800000005, 4807.071045000001, 4938.76299, 5058.48294, 5190.174885000001, 5321.86683, 5453.5587749999995, 5681.02668, 6052.158525000001]
Row  73 | Model: ESTOFADO LASSO            | Desc: Módulo (1Ass:215 - 1Me:030)              | W=2.45 | D=0.94 | H=0.78 | PA=0.00 | M3=2.303 | Prices=[5019.889008749999, 5111.411760000001, 5255.23322625, 5385.980013750001, 5529.801480000001, 5673.6229462500005, 5817.4444125, 6065.863308749999, 6471.17835]
